tag, x, y, z
"Brohuset", 3967.79, 3052.57, 68.81
"Kajsas i Tullen", 3567.36, 4176.50, 33.74
"Borgarhemmet", 4120.80, 4611.46, 44.88
"I", 4074.63, 5568.83, 29.81
"Landstingshuset byggnad L", 4117.49, 5625.52, 28.06
"Mälarvarvet", 3969.46, 4796.01, 22.03
"Sjömansskolan", 3832.67, 4763.15, 20.54
"Ingenjörsbostaden", 3809.38, 4817.50, 23.20
"Fördärvet", 3761.23, 4755.80, 20.57
"Slipvillan", 4029.96, 4829.45, 20.39
