tag, x, y, z
"G", 2676.58, 1433.60, 51.90
"B", 2649.24, 1526.89, 56.37
"D", 2716.01, 1545.60, 57.63
"E", 2755.95, 1529.54, 56.58
"F", 2763.19, 1489.40, 53.13
"K", 2690.89, 1558.95, 52.41
"Riddarhuset", 3384.65, 4531.23, 19.52
"Bondeska palatset", 3426.95, 4568.12, 27.37
"Strömsborg", 3234.38, 4667.03, 18.13
"Münchenbryggeriet", 2691.81, 3942.60, 37.78
"Gamla Auktionsverket", 3165.88, 4489.71, 34.07
"Schering Rosenhanes palats", 3204.18, 4506.18, 35.46
"Överkommissariens hus", 3161.73, 4537.12, 25.60
"Norstedtshuset", 3234.24, 4541.25, 37.58
"Gamla riksarkivet", 3283.63, 4497.25, 37.76
"Hessensteinska palatset", 3319.15, 4461.06, 31.12
"Stenbockska palatset", 3270.15, 4472.03, 36.09
"Riddarholmskyrkan", 3319.48, 4388.15, 34.60
"Östra Gymnasiehuset", 3303.06, 4332.58, 36.40
"Katarinagården", 3273.38, 2868.03, 59.59
"Piperska palatset", 3481.73, 4291.42, 34.11
"Birger Jarls torn", 3147.98, 4525.88, 28.18
"Wrangelska palatset", 3223.74, 4436.77, 37.25
"Laurinska huset", 3284.03, 3923.38, 58.56
"Mötesplats Mariatorget", 3174.58, 3598.46, 42.87
"Bofills båge", 3548.97, 3185.76, 56.67
"Fatburen", 3588.87, 3107.04, 56.90
"Nürnberghuset", 3379.56, 3332.03, 48.45
"Konung Oscar 1s Minne", 3443.95, 3314.38, 49.70
"Reenstiernska palatset", 2979.79, 3422.16, 49.94
"Södra barnbördshuset", 2883.25, 3372.61, 52.86
"Hartwickska huset", 3060.22, 3530.65, 51.64
"Mälarborgen", 2983.28, 3887.09, 59.43
"Grindhuset", 3171.83, 2727.29, 63.45
"BUP Dagakuten", 2824.33, 2528.57, 70.34
"BUP", 2878.23, 2529.81, 73.01
"Sachsgatan Förskola", 3067.43, 2544.19, 64.77
"Ekermanska malmgården", 2601.54, 2977.31, 39.50
"Villa Ludvigsberg", 2742.45, 3876.36, 40.56
"Guldbröllopshemmet", 3093.11, 2753.67, 65.76
"Hebbeska huset", 3373.34, 4351.92, 36.93
"Sparreska palatset", 3264.03, 4363.30, 34.29
"Kammarrättens hus", 3241.99, 4385.34, 35.44
"Levins villa", 3233.94, 4514.71, 38.02
"Västra Gymnasiehuset", 3285.22, 4341.10, 35.14
"B", 3537.83, 3545.08, 64.36
"M/S Borgila", 2798.63, 4015.02, 17.73
"Kronprinsessan Martha", 2853.30, 4014.90, 16.56
"Ran af Stockholm", 3093.94, 4015.24, 17.44
"Rygerfjord", 2998.93, 4019.35, 17.35
"Rygerfjord II", 3050.08, 4015.16, 16.71
"Den Röda Båten", 3133.73, 4016.75, 18.56
"Maria Magdalena kyrka", 3471.28, 3744.41, 45.47
"A", 3580.97, 3496.46, 65.98
"Monteliushuset", 3561.05, 3654.43, 59.28
"Mariahissen", 3300.10, 3956.45, 36.59
"Strato", 2626.57, 3248.24, 114.01
"Toalett Norr Mälarstrand 3 - kajen", 2619.03, 4640.04, 23.67
"Skandiahuset", 3577.14, 4588.90, 43.96
"Storage", 3143.27, 3980.94, 26.04
"Johan Eberhard Carlbergs hus", 3515.42, 3830.44, 45.47
"van der Nootska palatset", 3415.70, 3613.16, 51.04
"Söderhöjdskyrkan", 3239.97, 3798.94, 53.94
"Ryningska palatset", 3438.88, 4461.07, 24.62
"PUB", 3125.55, 5514.42, 51.35
"Norra Latin", 2889.79, 5635.57, 40.98
"Konserthuset", 3236.20, 5567.94, 49.28
"Skandinaviska Bankens palats", 3522.39, 4971.14, 38.99
"Konstakademiens hus", 3300.61, 4860.20, 37.53
"Centralpalatset", 3238.69, 4826.59, 39.18
"Åhléns", 3140.44, 5256.94, 47.93
"Klarabergshuset", 2707.73, 5096.73, 54.16
"Vårdcentralen Serafen", 2662.49, 4853.81, 30.49
"Fastighetskontoret", 2723.84, 4805.23, 28.77
"Stockholms stadsarkiv", 2444.48, 5023.59, 51.13
"Servicehuset Pilträdet", 2543.20, 4889.77, 52.81
"Gripenhielmska malmgården", 2578.40, 4816.45, 33.78
"Driftblock", 2549.86, 4778.02, 27.71
"Kungsbrohuset", 2640.74, 5224.49, 56.00
"Boat tickets", 2939.92, 4755.87, 14.75
"Kulturstation", 2565.08, 5559.75, 26.59
"Cityterminalen", 2799.53, 5225.29, 57.21
"Vasahuset", 2853.55, 5296.00, 51.20
"Stockholms centralstation", 2935.68, 5010.49, 30.77
"Klaraporten", 3133.97, 4949.14, 58.95
"Europahuset", 3451.29, 5553.73, 63.52
"Klara Trivialskola", 3079.42, 5133.32, 37.10
"IOGT-NTO gården i Klara", 3140.41, 5060.76, 32.89
"Kulturhuset", 3340.37, 5220.49, 47.18
"Adelswärdska huset", 3454.81, 4843.91, 41.21
"MOOD", 3601.77, 5500.51, 41.27
"Swedenborgskyrkan", 2767.85, 5862.77, 53.67
"Enskilda gymnasiet", 2796.71, 5877.02, 55.75
"Adolf Fredriks kyrka", 3060.99, 5886.30, 44.47
"Citykonferensen", 3405.56, 5549.11, 64.27
"Södra kungstornet", 3386.85, 5635.62, 105.03
"Norra kungstornet", 3379.29, 5679.78, 102.74
"Jafaris", 3378.15, 4937.81, 37.95
"Hårlemanska malmgården", 3017.24, 5691.88, 38.19
"Sankt Peters kyrka", 2721.90, 5813.95, 50.60
"Drottninghuset", 3405.40, 5949.41, 45.42
"Sagerska huset", 3475.33, 4851.85, 33.48
"Klara kyrka", 3144.24, 5127.94, 40.01
"Warodellska huset", 3073.02, 5615.66, 43.08
"Klara församlingshus", 3220.78, 5140.17, 38.13
"Svenska Läkarsällskapets hus", 3209.29, 5175.31, 37.06
"Centralbadet", 3054.34, 5747.58, 42.48
"Bonnierhuset", 3133.77, 5940.44, 47.92
"Adelcrantzska palatset", 3281.17, 4950.06, 33.20
"Norrlandsbanken", 3346.44, 4869.88, 41.01
"Stockholm Waterfront", 2812.77, 4955.56, 62.04
"Wurren", 2768.38, 5531.77, 24.34
"Sadelmakarens hus", 3414.83, 4907.29, 42.34
"Kanngjutarmästarens hus", 3403.71, 4928.71, 45.61
"Kumlienska huset", 3460.58, 4883.80, 39.41
"Sydsvenska kreditaktiebolaget", 3440.42, 4872.00, 42.81
"Toalett Norra Bantorget", 2782.92, 5554.21, 26.06
"Hiss till P Norra Latin", 2854.47, 5608.53, 28.96
"NK", 3574.83, 5347.08, 60.45
"Thulehuset", 3219.11, 5801.48, 61.08
"Finansdepartementet", 3295.87, 4921.24, 34.57
"Mäster Dyks hus", 3392.22, 4948.60, 45.57
"Kumlienska huset", 3389.77, 4962.21, 44.48
"Gahns hus", 3399.83, 4980.66, 49.25
"Apotekarsocietetens museum", 2791.64, 5777.06, 46.40
"Apotekarsocieteten", 2787.56, 5755.82, 50.94
"Finlandshuset", 3521.36, 5915.48, 46.85
"Eriksdalsbadet", 3972.36, 2119.81, 27.62
"Enskedehallen", 4155.94, 1602.87, 57.54
"Avicii Arena", 4397.90, 870.74, 147.96
"Katsan", 4228.72, 2076.26, 33.94
"Quality Hotel Globe", 4441.23, 777.14, 100.53
"Folksam", 4162.69, 2295.74, 39.41
"Skanskvarn", 4193.92, 1688.34, 51.55
"Stockholms äggaktiebolags byggnad", 4293.15, 562.50, 62.22
"Dianelund", 3574.68, 1782.84, 27.56
"Gula Villan", 4450.99, 2379.23, 39.73
"Folksamhuset", 4196.86, 2297.36, 104.03
"Skanstullshallen", 4408.73, 2342.18, 36.99
"Enskede gamla skola", 3615.67, 252.98, 44.66
"Svenska ägghandelsförbundets byggnad", 4315.67, 527.00, 59.15
"Globen", 4095.45, 961.02, 57.81
"Dödgrävarbostället", 4398.12, 1438.32, 52.06
"Gamla Börshuset", 3965.54, 841.92, 57.86
"f.d. marknadshall", 3949.51, 695.10, 59.60
"Portvaktsstugan", 3944.11, 786.63, 61.24
"f.d. hudbod", 4221.39, 773.44, 61.89
"Hotell- och Restaurangskolan", 4267.80, 700.22, 69.24
"Lindeskolan", 3693.37, 615.64, 55.96
"Stora Blecktornet", 4505.99, 2442.24, 43.78
"Skärmarbrinks gård", 4660.25, 774.22, 62.41
"Stockholm Live Office", 4269.10, 922.29, 84.52
"Annexet", 4311.15, 916.24, 83.41
"Hovet", 4320.89, 1015.37, 75.66
"Rapido Motorcykelklubb Stockholm", 4330.95, 1683.86, 42.35
"f.d. köttförsäljningsbyggnaden", 4151.51, 914.43, 62.50
"Centralslakthallen", 4114.81, 756.66, 56.76
"Badmintonstadion", 4069.12, 2079.63, 26.56
"3Arena", 4474.15, 588.21, 101.11
"Fryshuset", 4711.63, 1728.45, 35.98
"Globen Shopping", 4209.10, 943.40, 128.27
"Globen Shopping", 4283.88, 817.37, 90.01
"Värmdö gymnasium Gullmarsplan", 4002.42, 1557.63, 62.71
"Hi3G Access Sweden AB", 4534.96, 953.62, 97.07
"Sthlm 01", 4401.78, 1727.56, 130.81
"Sthlm 04", 4463.38, 1678.77, 50.43
"Toalett Eriksdalsbadet", 3694.68, 2072.60, 22.47
"Storkyrkan", 3654.74, 4512.28, 45.07
"Tyska kyrkan", 3732.15, 4326.96, 45.78
"Tullhus 1", 3979.69, 4397.81, 25.54
"Tullhus 3", 3938.75, 4184.17, 23.63
"Stadsgårdsterminalen", 4142.04, 3766.66, 22.92
"Tyghuset", 4355.18, 4636.70, 36.20
"Medborgarhuset", 3772.16, 3225.69, 58.95
"Södra Teatern", 3882.10, 3680.33, 65.68
"Högvakten", 4285.12, 4572.48, 20.75
"Marketenteriet", 4393.48, 4554.25, 30.54
"Af Chapman", 4224.24, 4458.26, 22.73
"Eric Ericsonhallen", 4354.71, 4582.72, 31.09
"Västra Boställshuset", 4542.43, 4387.30, 25.19
"Östra Boställshuset", 4651.53, 4403.03, 24.51
"Västra Uthuslängan", 4542.59, 4336.32, 17.94
"Sjökarteverket", 4354.76, 4426.79, 31.62
"Intendenturförrådet", 4340.28, 4361.19, 27.60
"Amiralitetshuset", 4280.77, 4499.42, 33.94
"Södra fundamentet", 4591.39, 4547.47, 27.86
